username,date,comment
[Deleted User],Jan-14,"I think the rims look good...they match the car pretty well. I don't like the 170 hp in such a big car. If I am going German, I want the 2.0T in the Golf GTI. $25 or $27,500 with the sport seats and in dash GPS."
[Deleted User],Jan-14,It sounds like some sort of automotive Xanax. We should ALL have blis...blis is your friend. Escape with blis!
Sandman6472,Jan-14,"Have the same 2.4 engine in my Hyundai Tuscon and agree with the statement about it's smoothness and refinement...it is that and more, a real pleasure to drive. Sure it's thirstier then what I have been used to but I understood this going in and the trade-off is worth it to me. An hopefully the mileage numbers will go up some once it gets past 5k on the clock. With just over 2k on it now, I still have a ways to go. But I am enjoying the ride!
The Sandman"
[Deleted User],Jan-14,"I find that at 3/4 throttle gives me the most satisfying acceleration. The torque just kind of slings it through the gears smoothly and it feels like it has a ton more power in reserve.... they really nailed it on the smooth powertrain. I think they did a on the Optima, and it sure has nice duds to wrap it all up in. The chassis is certainly adequate, but it lacks a true sporty feeling.
With a little more suspension experience, Honda and Toyota should be very worried."
ivan_99,Jan-14,"Yeah...autoblog said 6 spd manual. I think the other mags say 5spd, and the current Passat manual is 5spd so it's probably a 5spd.
I love the 19""s that alone would sway me...heh, go figure.
I think it's just a regular roof...just black."
stickguy,Jan-14,"On topic for this thread, had a text from my SIL earlier (I am her ""go to guy"" for all things automotive. Go figure...) Anyway, she had some relative that needed a car and she wanted options. The to topic part, they wanted a mid sized sedan!
criteria seemed to be 1) cheap, and 2) anything else. In terms of a good lease price, nothing down. Foreign or domestic. Currently driving a well-worn Corolla (so yeah, bar set real low).
Gave them Camry and Sonata as probably the 2 best basic options with a low lease price now. With the Fusion a contender. And the mazda 6 as the one I liked, but likely to cost more!"
explorerx4,Jan-14,"You probably aren't going to get a Fusion lease as cheap and a Camry, without putting down a pretty good down payment, which you want to avoid, if possible.
I'm letting mother nature wash the Fusion today. First time it's been above freezing in a while."
dudleyr,Jan-14,I suppose you don't need seatbelts either by that logic..
wayne21,Jan-14,"I suppose you don't need seatbelts either by that logic..
Not remotely the same logic."
Mr_Shiftright,Jan-14,"Actually it's surprising how many people still don't use their seatbelts....about 15%. Given that perhaps 5% of any given population is clinically insane, that still doesn't explain the 10% who make that choice rationally.
I try to break down optional accessories into 3 categories when I'm shopping for a car:
Essential
Useful
One More Expensive Thing to Break Just Out of Warranty"
wayne21,Jan-14,"_Actually it's surprising how many people still don't use their seatbelts....about 15%. Given that perhaps 5% of any given population is clinically insane, that still doesn't explain the 10% who make that choice rationally.
I try to break down optional accessories into 3 categories when I'm shopping for a car:
1.Essential
2.Useful
3.One More Expensive Thing to Break Just Out of Warranty
I pretty much do the same. And although my original question was a rhetorical one I did get an answer.
_"
[Deleted User],Jan-14,"Over on the Optima site there are some modification enthusiasts that have done a ""wiper delete"" because ""it looks cool"" and ""saves weight"". While being questioned about the sanity of doing such a thing, they said ""well, it doesn't rain much here"" (LA). Well, of course everyone suggested other items that could go based on that logic. Like ""our roads are long here... and I just realized that brakes are pretty heavy, so...""
ON SELF DRIVING CARS....
Really though, auto-drive is coming whether we like it or not. Just to play devils advocate, I bet a great number of people would rather drink their coffee and read the paper instead of slogging through an hour and a half of bumper-to-bumper on the way into work. I am one of those people. A computer is perfect for stressful, tedious, repetitious tasks like that. I want to drive when I can enjoy it. Also, computers would be better at managing the speeds and spacing between vehicles and get us there more quickly. So, there are some positives."
[Deleted User],Jan-14,"I have noticed that the standard Fusion 17"" wheels look a whole lot like the Optima LX 16"" alloys. So, I was curious and went to the Fusion site and built my own Fusion SE, just to familiarize myself a little better with the options, like which model gets which rims, etc.
I added the 2.0 ecoboost to the base SE...and then automatically you get a nice set of 5 star 18"" rims, and a decent price of $26,500. Not bad for the 240 hp model, 6 speed auto, nice black cloth seats, and the regular stereo system with all the bluetooth, USB, and aux input features included. I think that is a very competitive setup."
Mr_Shiftright,Jan-14,"""Over on the Optima site there are some modification enthusiasts that have done a ""wiper delete"" ""
Airliners of course don't use wipers--they use some kind of ultrasound system, and there is talk of putting these on cars in the future. So you may indeed see the end of windshield wipers soon enough. I think McLaren is already working on this."
[Deleted User],Jan-14,On a Mclaren it is cool. On an Optima converted into a Pep-Boys quasi-race car it isn't. Especially to save weight.
[Deleted User],Jan-14,"Volkswagen sales down 22.7% in December. Audi, Mercedes, and BMW report strong sales increases. Almost half of Euro-branded luxury car sales have been leases in December.
Just an FYI on the VW December sales figures, which of course include the mid-size Passat.
http://www.usatoday.com/story/money/cars/2014/01/03/european-automaker-december-2013-sales-vw-audi-bmw-mercedes/4297089/"
Mr_Shiftright,Jan-14,"VW still doesn't ""get"" the American buyer, at least not completely. And they really need to step up in reliability, whether real or perceived, if they don't want to end up as the ""Renault of America"" in ten years---and what I mean by that is something like ""snatching defeat from the jaws of victory""."
b25nut,Jan-14,"This will probably get me in trouble, but LaneWatch-type systems will be popular/needed since about 50% of the drivers out there are women, a fact that seems to be ignored in many discussion here. The vast majority of women are different drivers than men. This is really highlighted and confirmed in Hybrid forums."
wayne21,Jan-14,"HEY! I'm from the old school and I married a woman But in reality this came at just about the right time for me. My wife recently went to a funeral home for visitation. When leaving the funeral home she backed into a tree and scraped about 1"" of pain off the back bumper. It's barely noticeable. We went to the funeral together 2 days later. We parked in the exact same parking spot (I was driving) and I couldn't even see a tree. In fact, I'd bet there wasn't a tree within 100 feet of the parking place. I didn't even bother asking where this tree may be located as striking up this conversation would do nothing to put the paint back on the bumper."
[Deleted User],Jan-14,"VW launched both the Jetta and Passat during a soft market on both continents, offering good, basic cars, while others designed sexy-looking sedans with that looked more like coupes, and were packed with features and smartly designed interiors with near luxury materials. I commend VW for sticking with what they do best and offering great driving, high quality, affordable sedans...but the sales figures show which formula Americans preferred, by and large, and with the longer warranties offered by the competition, VW just couldn't keep many folks in the showroom.
Remember the Renault Alliance America? I Still do. In fact, I will never forget it. I think it had 80 hp.
Buffalo NY, 1983.
On a way to a very big wedding, 5 of us thick framed polish Americans were packed in an airport-rented Renault Alliance. We were going up a very steep hill on Military road, about 1/4 mile south of the Armory. What happened next was so surreal we almost couldn't believe it ourselves. A very very large tank broke loose from its tie-downs while being loaded on a trailer, and began rolling down the hill towards us. My father was not good with a stick, and by the time he got it together we were out of time. Panicked, he threw it in reverse, and backed us into a side road about 10 seconds before we were flattened, with about 20 reservists tearing after it as it continued rolling down the aptly named road.
My father never drove a stick shift again."
explorerx4,Jan-14,"The Fusion seems to have settled in at around 24mpg for the winter. In warmer weather, it averaged 28. I do leave it home if there is going to be more than a dusting of snow."
[Deleted User],Jan-14,Not willing to risk your baby....I can relate to that.
backy,Jan-14,"42 mpg from a gas-powered, non-hybrid midsized sedan... sounds pretty good to me!
http://www.autoblog.com/2014/01/13/volkswagen-passat-detroit-2014/"
explorerx4,Jan-14,"I still have my old bomber Explorer, so I usually drive that in the winter.
Luckily, when it was cold a week+ ago, it wasn't snowing at the same time, so I drove the Fusion."
[Deleted User],Jan-14,"That is the most garish shade of blue I have ever seen. Yikes. I am really, really not trying to start an argument backy, but that thing is fugly."
Kirstie_H,Jan-14,"@b25nut
I'm going to pretend I didn't just see that comment and read it as a slight aimed at the skills of female drivers. I've been driving for 30 years and have been female for a lot longer, and not only have I never been involved in an accident for which I was at fault, I've never been tempted to depart my lane into one occupied by another vehicle."
backy,Jan-14,"Yeah, that's really dumb of VW to offer the Passat in only that blue color, isn't it?"
explorerx4,Jan-14,"Just wait until you see a Deep Impact Blue Fusion. You'll probably pass out, although it's not a Passat."
[Deleted User],Jan-14,"It is just a publicity color to push their ""Blue Motion"" line of fuel efficient vehicles of course."
benjaminh,Jan-14,".

The Accord Sport is a good deal, but I think that the Accord EX is maybe just as good.
Here's a comparison:
Accord Sport 6 MT
$23,715 msrp
Accord EX 6 MT
$24,880
This is a difference of $1165. With the EX you gain: a moonroof, smart entry, push button start, heated mirrors, lockable glove box, 6 speaker stereo, Honda Lanewatch side camera.
But, and this will be a big deal to cksi, you loose the huge wheels and tires of the Sport, and you also lose the dual exhaust.
From my point of view, however, although the wheels and dual exhaust do look great, that are not really necessary. And if you keep the car for a long time, it'll be very pricey to get replacement tires since iirc, those 235/45R1894V tires cost something like $300 each at retail. And because those wheels are so big, the turning circle on the Sport, at 39.6, is larger than for the rest of the Accords, which is a more nimble 38.1.
I'm tempted by the Sport, but the EX might be more my cup of tea. And really, the LX is a great deal at $21,955. It has all the essentially goodness of the Accord for $1760 less than the Sport and $2925 less than the EX.
But since I still mostly love my 2008 Accord EXL navi 5 mt, I'm planning on sticking with it for another 2-4 years before I get my next Accord...."
stickguy,Jan-14,"I agree that the sport looks sharp, but like you, I want the features on the EX more. And I don't like the real low profile tires either, due to cost, and the fact that the roads around here are 1 giant pothole, and I want as much sidewall as I can get!"
brian125,Jan-14,"ben
Dont wait to long the next gen Accord in 4 years will be able to fly. your dual exhaust will be replaced with a propella"
dudleyr,Jan-14,"Couple things left out that the EX Accord has but the Sport does not.
Turn signals in the mirrors.
Rear seat heat and A/C vents in the center console
Additional lighting - backlighting for more of the switches.
Tighter turning radius - another disadvantage of the larger tires."
benjaminh,Jan-14,"I'd forgotten about the rear ac vents. Those are really useful for the folks in back. We have them in our 2013 Accord EXL navi, and I like them a lot."
benjaminh,Jan-14,"Yeah, part of me is wondering if I can wait for the 2018 Accord, which might well have a ""turbo propella"" lol--but I don't think I want to wait that long. But maybe.
When I got my 2008 with the navi, it was a little bit of a gamble, because I didn't know if the voice recognition would work. But it mostly does work for me. I think I must have an unusually clear voice or something, since I know for some people it just doesn't work enough to be useful.
So, on the one hand, I like a manual transmission for the sporty driving and fast acceleration. On the other hand, I love comfort and gadgets and am kind of addicted to to top of the line experience in my 2008 exl navi with the manual. I special ordered it too, and so there are probably only a dozen or so cars exactly like it in the whole country. I got nice replacement tires, Michel Pilots, just a year ago, and so those probably have another 4 years of life in them. I'm at 67,000 miles and so about 30,000 miles away from the major 100k service. I'm thinking that before the tires go again, and before the tune up is needed, I'll trade her in, but it'll be tough to let her go. I'm really fond of the ""White Whale,"" as we call her. My wife's car, the 2013 Accord exl navi in Basque Red Pearl we call ""Tabasco."" I do like my wife cvt for the mpg. And the rest of the car is a step beyond mine in almost every way."
dudleyr,Jan-14,What major tuneup? The only tuneup I did on my 2007 was replace the irridium plugs at 130k (and they still looked almost new). 170k miles right now and the only non maintenance item was an o2 sensor at 120k miles. Front brakes are still original as is the clutch. If you really like the top end stick you may need to keep it a while as they are getting rare.
ahightower,Jan-14,"One would expect the EX to be better equipped for more money. One has to draw the line somewhere. The LX really does have everything necessary, and more. Power everything, bluetooth, backup camera. Those are the essentials, so it seems. A solid package for a very good price. But what sold me on the Sport were its upgrades vs the LX, for not a whole lot of money ($1720):
-dual exhaust (good for 4 whole hp, woot)
-18-inch wheels (good design, nice stance)
-leather-wrapped steering wheel and shift knob (who wants to grab a plastic steering wheel every day? EX does not have this.)
-upgraded cloth upholstery (vs LX and EX)
-10-way power adjustment (incl lumbar - HUGE for me, EX does not have this either, you have to go EX-L)
-decklid spoiler (purely cosmetic, but what can I say, I haven't given up on trying to look cool yet...)
-fog lights (not that I really need them, just that I absolutely despise blanks where fog lights are supposed to go, advertising that I got the ""cheap"" one)
-sport suspension (I've read this somewhere, but not seeing it specifically called out on the Honda website)
At any rate, it's not just cosmetics. As for the larger wheels, I find the ride perfectly comfortable and quiet. I didn't compare to an LX test drive, but it's like a dang Lexus compared to my old Mazda3. I know replacement tires will be more expensive, but what can I say, they just look great. Vanity got me again. Turning radius has not been a problem, as I don't live in a tiny parking garage or an autocross course.
As for the EX's perceived benefits:
-moonroof - tall guy, hot climate, why give up headroom and let in more sun?
-stereo upgrade - would be nice, but I'm a talk radio/podcast nerd. Music sound quality from the
base stereo is acceptable from digital sources (FM sucks)
-Push-button start/smart entry. Nifty. Have had it on many rental cars, and won't deny its convenience.
-Lane watch... see prior discussion. I guess it's cool, but I haven't missed its absence.
Frankly, I'd have the Sport over the EX even if they were the exact same price.
Moral of the story:
Honda is a bit aggravating with their few trim levels. There are a couple things I wish I could have selected a la carte. But then you end up nickel and dimed to death as with Toyota and, to a lesser extent, Ford. So, you choose the trim that suits your needs, preferences, budget, and to each his own. I like to think of mine as the ""driver's Accord"".
And ya know, the EX-L is not such a stretch, and with that you get heated leather, LEDs, touchscreen, memory seats, etc... Ooh, ooh, maybe the new Hybrid!... Again, we must all draw the line somewhere. Even the guy with the Touring had to decide he wasn't going to get an Acura..."
ahightower,Jan-14,EX-L Navi manual - you really do have something of a unicorn there!
ahightower,Jan-14,Which switches exactly? I did not know this.
benjaminh,Jan-14,"Wow. So those iridium spark plugs can often go beyond 100k. Is iridium more durable than platinum for this application?
I don't do my own work, and so I'm not sure what the dealer would charge for a 100k service, but maybe 1k? If I go that route I should maybe shop around and/or not get everything done that they are calling for.
I do like my 2008, but my wife's 2013 is giving me some car envy. Her Accord is quieter and more luxurious, and has a lot of features mine doesn't have. I do notice that the steering of my 08, with the hydraulic, feels a little heavier and more direct, in a good way. But, frankly, the acceleration of my 190hp vtec isn't quite as fast as I would like. The new Accord is a little lighter and, more importantly, the direct injected earth dreams engine has more torque. Some 0-60 tests of the new manual Accords have shown sub 7 second times, which is probably 2 seconds faster than I can do in my 08. I know I'll never match a magazine's time, but even 7.5 would be nice for merging on the freeway with the uphill ramp that I take every day after work.
The EX does have a lot of stuff, and is about 5k less than the EXL navi iirc. I don't actually need leather seats, and slightly prefer cloth. I actually worry that the leather seats of my 08 will crack at some point. I'd better condition em again soon. And with a smart phone, maybe the navi is less needed these days. On the other hand, the CVT my wife has will probably beat the mpg of the 6 mt, and so maybe I should just save up for that. Decisions, decisions. My car still has plenty of life in it, and so it's just a fun time waster to consider what I might do some day."
benjaminh,Jan-14,"It's a weird one. And it might hurt my trade in value? Don't know. The salesman thought I was mad to order it, but eventually he gave in. I'm glad I got the exact car I wanted."
benjaminh,Jan-14,"ahightower: By any chance do you have the manual Sport? If so, any comments on the transmission and clutch? I've driven my brother-in-law's 2012 Civic Si 6 mt, and it was smooooth, but took some getting used to."
brian125,Jan-14,"a hightower,
One would expect the EX to be better equipped for more money. One has to draw the line somewhere. The LX really does have everything necessary, and more. Power everything, bluetooth, backup camera. Those are the essentials, so it seems. A solid package for a very good price. But what sold me on the Sport were its upgrades vs the LX, for not a whole lot of money ($1720): -dual exhaust (good for 4 whole hp, woot) -18-inch wheels (good design, nice stance) -leather-wrapped steering wheel and shift knob (who wants to grab a plastic steering wheel every day? EX does not have this.) -upgraded cloth upholstery (vs LX and EX) -10-way power adjustment (incl lumbar - HUGE for me, EX does not have this either, you have to go EX-L) -decklid spoiler (purely cosmetic, but what can I say, I haven't given up on trying to look cool yet...) -fog lights (not that I really need them, just that I absolutely despise blanks where fog lights are supposed to go, advertising that I got the ""cheap"" one) -sport suspension
I agree what you said about the Accord and its looks. For me the EXL V-6 was the clear choice and the best bang for my buck. I enjoy that extra power from the V-6, the leather , lights and all the little extra's that make this accord special. My neighbor has the The 4cyl with smaller tires and one exhaust, basic lights. Its like night and day in the looks dept. When you see the V-6 exl on the road it is a sharp vehicle.
Upgrading from the LX, to the...... Sport model or the EX, is a must in the looks dept. Dont get caught looking like granny in this new accord.....LOL"
ahightower,Jan-14,"Best MT I've ever driven. Smooth shifter, clutch is easy but not too light. I agree it took some getting used to, but I only stalled twice in the first few hundred miles and never since. I think I was taking full advantage of all the new leg room vs my last car and getting using to the driving position. And the gearing is different than what I was used to (pretty short 1st, and 4-5 is rather close so I often just wind out 4th and skip to 6th). But after a short time it feels very natural. Creeping in traffic is no problem. All the praise for Honda manual transmissions in the enthusiast mags is true. I almost bought a Civic or Fit back in '08 because their MT was so nice, but the deal I got on the Mazda3 was too good to pass up. And that Mazda was also a good transmission, really a good car overall. Traded it in with 90K and no issues, just wanted to upgrade really. But the Honda MT is better. The hill-holding feature is also very nice. Not necessary, because of course I am an expert driver, but very convenient when there is a texter right on your bumper..."
benjaminh,Jan-14,"ahightower: Thanks for the report. But darn, now you're making me want one!++"
explorerx4,Jan-14,"Didn't the timing belt need to be changed? Maybe that was a particular engine.
My '02 Explorer has 138k and other than the air filter, the PCV (<$20) is the only thing touched on the engine. Other parts of it, that's another story."
benjaminh,Jan-14,"explorerx4:
My 2002 Accord I-4 had a timing belt. I traded it in right before that needed to be done. By the time my 2008 Accord was built, however, they'd switched to timing chains, which are supposed to last the life of the engine iirc. And so maybe the 100k ""major"" service isn't so major after all."
akirby,Jan-14,You should never leave the spark plugs in place for more than 100k (80k on aluminum heads). Even if you don't need to replace them you should remove and replace them so they don't get welded to the head and break off.
explorerx4,Jan-14,How about years? The spark plugs in my Mustang were replaced last year. It's a 1991.
benjaminh,Jan-14,"We've commented on this before, but what a difference a few years make. Back in 2011 and 2012, the Hyundai Sonata was one of the first Hyundais to sell without huge discounts and rebates for the most part. But now, in 2014, the new Fusion, new Accord, new Altima, new Mazda6, etc., have kicked the heck out of the Sonata's prices in my area. Take a look at this discount in my area: $4400 off msrp on a nicely equipped leftover 2013 Sonata. It's a lot of car for the money, and really pretty close to the price of a Civic or even Elantra. The optional paint color and interior look pretty good imho, if you want to take a look:
MSRP $23,280
Savings $4,399
Oxmoor Hyundai Price $18,881
Color:Shimmering White Mica
Interior:Camel w/Premium Cloth Seating Surfaces
Stock#:H6110
Engine:2.4L 4 cyls
http://oxmoor-hyundai.calls.net/New-2013-Hyundai-Sonata-GLS-Louisville-KY/vd/14584641"
benjaminh,Jan-14,"Actually, looking at today's newspaper in Louisville, some other midsize cars are available for similar prices. As you folks know, I'm a loyal Honda guy, but there are some great deals out there, for instance: 2014 Toyota Camry for $18,890 (w/$500 loyalty), 2014 Altima 2.5S $18,850, etc. I'd still pay c. $2000 more and get an Accord, but...."
[Deleted User],Jan-14,"Wow, so much to comment on. I agree with ahightower on the sun/moon roof. I need the headroom. As a bonus my car is 150 lbs lighter, and there is no chance of potential leaks and squeaks over time.
I still like the Accord Sport, despite what the EX has to offer. The wheels and exhaust plus fog lights is the look that I like, but you do get only 4 speakers in the stereo. However, it is listed as having 160 watts, which is good. Also, the 10 way drivers seat (listed here @Edmunds as an 8 way) and the leather steering wheel and shift knob is also important to me as I will be touching them very frequently.
There was a time when a sports car, or sport package, was actually a more bare-bones car that was a hoot to drive on weekends and track days. Now ""sport"" is affixed to almost every car in some way. Things like ""sport shift mode"" on an automatic is simply the manual operation of the same automatic trans gears that are in the rest of the lineup. My moms 83' Plymouth Reliant Wagon had ""sport shift"" then (D, 2,1).
I like the Accord Sports black cloth seats too. Very grippy and great looking in black.
The rear vents, push button start, turn signals in the mirrors, all can be added on later. My choice is still absolutely the Accord Sport. The white one that I see all the time in my neighborhood always makes me look back at it and stare, and I can only imagine that owning one like it would produce the same effect in spades."
akirby,Jan-14,Ok - 100K miles or 7 years. You're lucky that's not an aluminum head or you'd probably be replacing the entire head just to get the plugs out!
dudleyr,Jan-14,EX does have 10 way power with lumbar.
[Deleted User],Jan-14,"I just looked at both the 2013 Sport M/T and the 2013 EX M/T. Both have 8 way adjustable power seats. Only the EX is listed with lumbar support. My source was right here in Edmund's.
On the 2014 specs it lists both cars as having lumbar support. I think the 2013 specs may be a listing error with Edmund's. Does anyone have a 2013 Sport with power lumbar? How bout an EX?
Now, I just went over to Honda's site, and compared both cars with both transmissions, and Honda says that all 4 have 10 way power seats with power lumbar. Honda also listed all 4 variants as having manual transmissions, so even Honda is confused about what car comes with what. I guess you get a bonus M/T in case your CVT explodes, which is what we all have feared in the first place.
Here is the URL: http://automobiles.honda.com/tools/compare-trims/results.aspx#modelname=Accord Sedan&modelyear=2014&compmodel1=CR2E5EEW&compmodel2=CR2E7EJW&compmodel3=CR2F7EJW&compmodel4=CR2F5EEW"
garythesnail,Jan-14,Automotive News (www.autonews.com)
benjaminh,Jan-14,"Only a few of the players are really satisfied with their place in the midsize market. Even Toyota, according to an article in Auto News today, wants its forever boring and mediocre Camry to be more interesting. Nissan is said to be let down with the performance in the market of the Altima, which they once thought might go to #1 or 2, but which now seems stuck between 3rd and 4th place, and has had some quality issues. The Sonata, after riding high in 2011 and 2012, apparently saw its sales to rental fleets soar 40% last year, and discounts are heavy. Maybe this is one reason why the former head of Hyundai USA, John Krafchek, isn't there anymore? Don't know. VW has been bitterly let down by the weak sales of the Passat, which meant laying off 500 workers at its new factory in TN, and even laying off the head of VW of America.
I think the only players who feel happy with their position in the midsize market right now are: Honda, which is staying at a strong #2 (and even outsold the Camry last month) without huge discounts; Ford, which saw sales of the Fusion jump 22% last year and has started production in the US; and Mazda, which is getting rave reviews for its Mazda6 and sold a whopping 200% more in December than a year ago (which was still only 4,365 cars).
At this point the players can make more of these cars than people in the US can buy, which is leading to intense competition over features, price, and financing. And so, it's a buyer's market.
For reference, here are the sales numbers again from last month:
Accord 32,321
Camry 29,964
Altima 24,816
Fusion 24,408
Malibu 15,493
Sonata 14,479
Optima 9,474
Passat 9,254
200 5,652
Avenger 4,950
Mazda6 4,365
My predictions for 2014: Fusion will pass Altima and become the #3 selling midsize car. Accord will get close to the Camry but won't quite pass it, since Honda won't play the ""0%+ 2000 rebate"" game. The Mazda6, I think, might pass the Dodge Avenger, but that's not saying much.
Maybe Honda is the only one selling close to capacity at this point. I think they can make about 33,000 Accords a month for the US market, and that's almost what they sold. Iirc, Toyota can make up to 40,000 Camrys a month, and so they are already way under what they can do. I believe Ford and Nissan have about the same capacity as Honda, and so they are selling about 8000 fewer midsize cars a month than they are able to make...."
benjaminh,Jan-14,"from Auto News:
Toyota readies remix of Camry with 'waku-doki'
Alan Ohnsman
January 17, 2014 - 10:38 am ET
DETROIT (Bloomberg) -- Toyota Motor Corp. has a challenge: How to heed President Akio Toyoda's insistence on heart-racing design for the next Camry and Prius models without jeopardizing their mass-market appeal.
Getting it wrong risks knocking Camry from its perch as the best-selling U.S. car, a title held for 12 consecutive years, and seeing Prius, which sells more than 200,000 units annually in the U.S., eclipsed by newer hybrid vehicles. While next-generation versions of both cars are in the works, Toyota executives haven't provided many details.
The aim for the next Camry is a ""more emotional, more impactful design,"" Kevin Hunter, head of Toyota's U.S. design studio, said in an interview at the Detroit auto show this week. ""Camry's taken some hits on styling, but it's still selling well. But we need to create better design for Camry in the future.""
Toyoda, grandson of the company's founder, is pushing an overhaul of vehicles with an emphasis on ""waku-doki"" design, shorthand for the Japanese phrase for heart-racing qualities. That would break from the current styling of the Camry and Prius, which together accounted for about a third of the company's U.S. sales volume last year....
Read more: http://www.autonews.com/article/20140117/OEM03/140119700/toyota-readies-remix-of-camry-with-waku-doki#ixzz2qhQHcMaX
Follow us: @Automotive_News on Twitter | AutoNews on Facebook"
ab348,Jan-14,"I have heard that Mazda is hugely disappointed with sales of the new 6. From those numbers, I can see why. An early refresh is due next year I hear."
benjaminh,Jan-14,"ab348: Really? I didn't know that....If you find any links to articles, I'd like to see what Mazda's plans are for the 6. It's really the only car beyond the Accord that tempts me at this point."
brian125,Jan-14,The 2014 mazda 6 has been redesigned. The reviews on edmunds are pretty good. The only thing i dont like is No 6cyl.. Unless i misread the reviews wrong.
brian125,Jan-14,The Accord is still the best buy in this midsize lot.
ab348,Jan-14,"This is from Automotive News:
""Mazda6: Despite getting redesigned for the 2014 model year, a re-engineered Mazda6 is scheduled to arrive in late 2014 or early 2015 with a new interior and updated front fascia.
Since the debut this year, the redesigned Mazda6's interior has been criticized by some as bland. Sources say the new interior will include new gauges, instrument clusters, materials, center stack design and seating surfaces, as well as a version of the connectivity and infotainment system in the upcoming Mazda3. The new interior's overall aesthetic will be similar to that of the 2014 Mazda3, but more refined to help the mid-sized sedan keep its place atop the hierarchy of Mazda's cars.
A 2.2-liter turbodiesel will be added to the powertrain lineup this year. Sources say that a hybrid powertrain is under study.""
Read more: http://www.autonews.com/article/20130826/OEM04/308269968/mazda6-cx-5-to-get-earlier-updates#ixzz2qhswxe8f
Follow us: @Automotive_News on Twitter | AutoNews on Facebook"
